uri,content
1315,anger
1316,ignorance
1317,greed
1318,pray
1319,conversation
1320,activist
1321,within
1322,lie
1323,wonder
1324,florida
1325,official
1326,improve
1327,urban
1328,disagree
1329,bush
1330,restaurant
1331,near
1332,please
1333,relative
1334,adult
1335,son
1336,whom
1337,gop
1338,george
1339,radical
1340,water
1341,commercial
1342,egg
1343,range
1344,organic
1345,distance
1346,favorite
1347,area
1348,file
1349,religion
1350,appropriate
1351,forever
1352,deeply
1353,coverage
1354,expectation
1355,score
1356,widely
1357,notion
1358,balance
1359,aspect
1360,application
1361,law
1362,consideration
1363,government
1364,equal
1365,therefore
1366,ensure
1367,net
1368,basic
1369,serve
1370,functional
1371,activity
1372,boat
1373,citizen
1374,treatment
1375,individual
1376,versus
1377,normal
1378,yield
1379,elect
1380,market
1381,uk
1382,arrive
1383,damage
1384,cause
1385,desire
1386,reasonable
1387,theory
1388,altruism
1389,fitness
1390,biology
1391,equally
1392,animal
1393,extremely
1394,cat
1395,specie
1396,adopt
1397,extreme
1398,being
1399,vision
1400,display
1401,satisfaction
1402,operation
1403,survive
1404,definition
1405,depend
1406,progress
1407,usa
1408,crime
1409,purpose
1410,element
1411,scientist
1412,station
1413,website
1414,humanity
1415,thread
1416,consistently
1417,opening
1418,membership
1419,august
1420,blogg
1421,october
1422,seek
1423,regardless
1424,sexual
1425,blog
1426,exposure
1427,develop
1428,discussion
1429,representative
1430,aaron
1431,rise
1432,skill
1433,golden
1434,fill
1435,district
1436,select
1437,selection
1438,analysis
1439,africa
1440,solely
1441,building
1442,unemployment
1443,rate
1444,accord
1445,oil
1446,gas
1447,growth
1448,farming
1449,revenue
1450,effectively
1451,robert
1452,program
1453,harm
1454,agriculture
1455,sector
1456,experienced
1457,worth
1458,suffer
1459,reduce
1460,debt
1461,agency
1462,bear
1463,slightly
1464,factor
1465,largely
1466,birth
1467,several
1468,international
1469,employ
1470,control
1471,foreign
1472,indian
1473,island
1474,square
1475,mile
1476,difficulty
1477,ethnic
1478,region
1479,double
1480,significant
1481,military
1482,coast
1483,heavily
1484,independent
1485,substantially
1486,bench
1487,volume
1488,threat
1489,capable
1490,opponent
1491,manage
1492,block
1493,shot
1494,formula
1495,motion
1496,offense
1497,mess
1498,tom
1499,prepare
1500,third
1501,record
1502,stock
1503,healthy
1504,choice
1505,kentucky
1506,hop
1507,constant
1508,surprised
1509,candidate
1510,blue
1511,yard
1512,quarterback
1513,henry
1514,steve
1515,larry
1516,hopefully
1517,craig
1518,crucial
1519,bowl
1520,vs
1521,recipient
1522,rank
1523,division
1524,nationally
1525,receive
1526,principle
1527,creation
1528,wisdom
1529,teaching
1530,ice
1531,storm
1532,secure
1533,bible
1534,prefer
1535,theme
1536,frame
1537,christ
1538,context
1539,encourage
1540,plane
1541,west
1542,option
1543,trade
1544,discover
1545,primarily
1546,mission
1547,specific
1548,commit
1549,explore
1550,specifically
1551,establishment
1552,thus
1553,congress
1554,federal
1555,freedom
1556,peter
1557,section
1558,historical
1559,century
1560,speed
1561,driver
1562,authority
1563,build
1564,introduce
1565,city
1566,creative
1567,association
1568,device
1569,spring
1570,purchase
1571,investment
1572,ban
1573,image
1574,vehicle
1575,mark
1576,police
1577,clause
1578,room
1579,illegal
1580,clearly
1581,visible
1582,harder
1583,fine
1584,county
1585,encounter
1586,willing
1587,protect
1588,justify
1589,numerous
1590,town
1591,helpful
1592,inside
1593,permanent
1594,app
1595,network
1596,participant
1597,t
1598,precious
1599,quit
1600,coat
1601,shoe
1602,cold
1603,store
1604,warm
1605,ny
1606,fashion
1607,collection
1608,unique
1609,wear
1610,council
1611,presidential
1612,paul
1613,administration
1614,agenda
1615,utter
1616,mother
1617,insane
1618,diet
1619,planning
1620,ten
1621,content
1622,cooking
1623,expense
1624,successfully
1625,advance
1626,chicken
1627,draw
1628,stuck
1629,sport
1630,practice
1631,busy
1632,priority
1633,table
1634,fun
1635,television
1636,pie
1637,bus
1638,company
1639,generate
1640,consumption
1641,england
1642,farmer
1643,arizona
1644,accomplish
1645,europe
1646,possibility
1647,evening
1648,travel
1649,floor
1650,necessarily
1651,trip
1652,hair
1653,research
1654,london
1655,key
1656,client
1657,search
1658,minimum
1659,personally
1660,familiar
1661,software
1662,refuse
1663,friday
1664,clothe
1665,respond
1666,guide
1667,bias
1668,found
1669,clinton
1670,impressive
1671,platform
1672,seven
1673,manager
1674,ride
1675,sea
1676,bed
1677,emergency
1678,comfortable
1679,grateful
1680,gov
1681,governor
1682,sandy
1683,announce
1684,insurance
1685,investigate
1686,wake
1687,perform
1688,aid
1689,whatev
1690,climate
1691,regularly
1692,immediately
1693,mail
1694,lady
1695,minor
1696,soul
1697,zone
1698,eastern
1699,th
1700,garbage
1701,collect
1702,apart
1703,horrible
1704,jersey
1705,injury
1706,feed
1707,michael
1708,anyway
1709,beach
1710,heat
1711,supply
1712,victim
1713,loading
1714,extent
1715,contain
1716,baby
1717,hearing
1718,chris
1719,flickr
1720,cancer
1721,fund
1722,fiscal
1723,blind
1724,proper
1725,affect
1726,overall
1727,challenge
1728,supporter
1729,olympic
1730,chinese
1731,native
1732,contract
1733,boston
1734,convinced
1735,ryan
1736,executive
1737,surface
1738,australia
1739,training
1740,entry
1741,shock
1742,fourth
1743,final
1744,eight
1745,kansas
1746,lincoln
1747,command
1748,mere
1749,june
1750,rely
1751,understandably
1752,luck
1753,realistic
1754,seed
1755,winner
1756,supreme
1757,protection
1758,medication
1759,relatively
1760,finding
1761,owner
1762,pressure
1763,fee
1764,lasix
1765,horse
1766,colorado
1767,measure
1768,approval
1769,blame
1770,testing
1771,leg
1772,test
1773,soon
1774,trainer
1775,violation
1776,enter
1777,dirty
1778,plant
1779,fix
1780,pig
1781,incident
1782,responsible
1783,occur
1784,detailed
1785,winter
1786,present
1787,funding
1788,experiment
1789,guilty
1790,latter
1791,cheap
1792,significantly
1793,consistent
1794,correct
1795,especially
1796,jul
1797,quarter
1798,period
1799,yours
1800,nt
1801,flat
1802,opposition
1803,mad
1804,perspective
1805,overseas
1806,scary
1807,acceptable
1808,scenario
1809,emphasis
1810,bleed
1811,camp
1812,athlete
1813,partner
1814,democracy
1815,capacity
1816,arena
1817,coke
1818,harmful
1819,expert
1820,breed
1821,magic
1822,inform
1823,humidity
1824,ground
1825,dumb
1826,background
1827,medical
1828,jan
1829,otherwise
1830,rare
1831,us
1832,additionally
1833,condition
1834,pointed
1835,correctly
1836,quick
1837,similar
1838,management
1839,active
1840,sun
1841,dirt
1842,sufficient
1843,perception
1844,contrary
1845,logic
1846,agent
1847,unnecessary
1848,careful
1849,carefully
1850,ridiculous
1851,bird
1852,severe
1853,vast
1854,sin
1855,bob
1856,elite
1857,tiny
1858,air
1859,advocate
1860,cite
1861,previously
1862,mom
1863,regulation
1864,towards
1865,poorly
1866,furthermore
1867,you
1868,behavior
1869,hire
1870,toxin
1871,hurt
1872,reverse
1873,danger
1874,non
1875,assumption
1876,hang
1877,cycle
1878,advantage
1879,afraid
1880,destruction
1881,notice
1882,afford
1883,al
1884,connect
1885,famous
1886,album
1887,song
1888,flight
1889,leather
1890,accurate
1891,friendly
1892,neat
1893,constantly
1894,downtown
1895,formal
1896,hotel
1897,toward
1898,temperature
1899,bathroom
1900,quote
1901,weather
1902,switch
1903,interview
1904,silence
1905,print
1906,stage
1907,complicated
1908,conspiracy
1909,pregnant
1910,demand
1911,descent
1912,perfectly
1913,dan
1914,afternoon
1915,sweet
1916,deficit
1917,dad
1918,rich
1919,estate
1920,environment
1921,logical
1922,loan
1923,husband
1924,replace
1925,confused
1926,tax
1927,iraq
1928,gay
1929,firm
1930,bunch
1931,importantly
1932,promise
1933,abortion
1934,green
1935,btw
1936,dog
1937,twice
1938,previous
1939,neighborhood
1940,ohio
1941,trillion
1942,january
1943,china
1944,cliff
1945,terrorist
1946,libya
1947,shape
1948,illness
1949,housing
1950,frank
1951,unable
1952,investigation
1953,warn
1954,coal
1955,wealthy
1956,remove
1957,bankruptcy
1958,progressive
1959,crop
1960,rain
1961,electricity
1962,fema
1963,fault
1964,roughly
1965,entitlement
1966,rid
1967,tactic
1968,joke
1969,veteran
1970,corporation
1971,rhetoric
1972,basically
1973,youth
1974,existence
1975,apparently
1976,accusation
1977,cry
1978,brave
1979,curious
1980,computer
1981,garden
1982,guilt
1983,recognize
1984,income
1985,combine
1986,mental
1987,scrutiny
1988,india
1989,forth
1990,sustainable
1991,ideal
1992,tutor
1993,window
1994,pollution
1995,rush
1996,shop
1997,married
1998,ballot
1999,holme
2000,warren
2001,ai
2002,institution
2003,february
2004,armed
2005,confusing
2006,hide
2007,innocent
2008,object
2009,idiot
2010,damn
2011,finger
2012,breath
2013,beer
2014,flow
2015,chocolate
2016,map
2017,user
2018,connection
2019,importance
2020,expose
2021,=
2022,route
2023,transfer
2024,metro
2025,schedule
2026,seattle
2027,separate
2028,round
2029,constraint
2030,comparison
2031,bike
2032,silly
2033,passenger
2034,cleveland
2035,feature
2036,decent
2037,fantastic
2038,viable
2039,weird
2040,temporary
2041,judge
2042,exact
2043,behalf
2044,flood
2045,enemy
2046,violate
2047,advertise
2048,central
2049,properly
2050,criminal
2051,dallas
2052,bar
2053,ipad
2054,cookbook
2055,temptation
2056,novel
2057,seemingly
2058,code
2059,developer
2060,suspect
2061,random
2062,hi
2063,contact
2064,immigrant
2065,suspicious
2066,iphone
2067,viewer
2068,richard
2069,scale
2070,function
2071,heavy
2072,engage
2073,tight
2074,apartment
2075,lay
2076,clark
2077,canadian
2078,spirit
2079,navy
2080,capital
2081,threaten
2082,rape
2083,error
2084,circumstance
2085,ethnicity
2086,akin
2087,objective
2088,scared
2089,crew
2090,inevitable
2091,worthy
2092,intelligence
2093,sentence
2094,courage
2095,penalty
2096,episode
2097,corner
2098,stake
2099,closely
2100,genetically
2101,accuse
2102,enslave
2103,s
2104,kennedy
2105,observation
2106,gene
2107,dna
2108,prison
2109,define
2110,judgment
2111,remark
2112,miracle
2113,trauma
2114,frequently
2115,stretch
2116,differently
2117,weapon
2118,genetic
2119,allen
2120,gun
2121,grand
2122,recognition
2123,tank
2124,follower
2125,jewish
2126,jew
2127,fuel
2128,justin
2129,noise
2130,belong
2131,singer
2132,xmen
2133,universe
2134,bond
2135,profitable
2136,franchise
2137,bridge
2138,gold
2139,elizabeth
2140,honor
2141,journey
2142,autism
2143,forum
2144,mentor
2145,represent
2146,highlight
2147,teacher
2148,title
2149,cent
2150,comparable
2151,medicare
2152,oregon
2153,mobile
2154,wherein
2155,senator
2156,ford
2157,anniversary
2158,unfortunate
2159,apple
2160,shift
2161,communication
2162,suddenly
2163,dust
2164,discipline
2165,muslim
2166,dhimmi
2167,israel
2168,layer
2169,educate
2170,everyday
2171,elephant
2172,officer
2173,neutral
2174,monthly
2175,educator
2176,educational
2177,patient
2178,faculty
2179,academic
2180,facility
2181,extend
2182,virtue
2183,g
2184,thomas
2185,resident
2186,regime
2187,decline
2188,carbon
2189,pound
2190,valuable
2191,finance
2192,precisely
2193,gish
2194,gallop
2195,bullshit
2196,identity
2197,resistance
2198,unreasonable
2199,bid
2200,newspaper
2201,gm
2202,lake
2203,prior
2204,contrast
2205,credibility
2206,immigration
2207,proposal
2208,strange
2209,calm
2210,scalia
2211,junk
2212,mountain
2213,evolution
2214,stat
2215,multiple
2216,description
2217,harris
2218,detroit
2219,rice
2220,unlikely
2221,draft
2222,offensive
2223,trading
2224,investor
2225,interpretation
2226,merkel
2227,alternative
2228,michigan
2229,mode
2230,teenager
2231,rural
2232,update
2233,de
2234,microsoft
2235,visual
2236,scheme
2237,library
2238,halloween
2239,neighbor
2240,adam
2241,solar
2242,jones
2243,vincent
2244,reserve
2245,literature
2246,chairman
2247,possession
2248,marijuana
2249,keyboard
2250,wine
2251,hybrid
2252,engineering
2253,sky
2254,machine
2255,windows
2256,pc
2257,movin
2258,transportation
2259,visitor
2260,iran
2261,frankly
2262,label
2263,provision
2264,arrest
2265,homeland
2266,tsa
2267,battery
2268,protein
2269,plasma
2270,pro
2271,request
2272,fps
2273,sim
2274,engine
2275,industrial
2276,concentrate
2277,monument
2278,souter
2279,sekulow
2280,unusual
2281,mount
2282,clutter
2283,observer
2284,derek
2285,match
2286,basketball
2287,aggressively
2288,android
2289,tumble
2290,solve
2291,rt
2292,tablet
2293,profile
2294,lawyer
2295,mechanism
2296,dump
2297,drilling
2298,east
2299,shale
2300,iowa
2301,genome
2302,competitive
2303,molecular
2304,nuclear
2305,allege
2306,mirror
2307,electric
2308,conventional
2309,florent
2310,lane
2311,stationary
2312,runway
2313,guest
2314,ribbon
2315,lol
2316,prosperous
2317,meter
2318,airport
2319,regulatory
2320,complement
2321,arab
2322,yost
2323,predict
2324,toxic
2325,hypothesis
2326,fbi
2327,barrett
2328,module
2329,enforcement
2330,fade
2331,dozen
2332,engineer
2333,mid
2334,shrug
2335,patriot
2336,belichick
2337,super
2338,wilson
2339,russia
2340,elena
2341,dawkin
2342,besides
2343,locker
2344,pre
2345,suspicion
2346,cop
2347,detain
2348,strip
2349,shoshana
2350,thankful
2351,terrorism
2352,paranoia
2353,amanda
2354,allison
2355,pakistan
2356,airline
2357,irish
2358,racially
2359,martha
2360,aircraft
2361,precaution
2362,afghanistan
2363,coli
2364,contamination
2365,et
2366,islam
2367,circumnavigate
2368,congressman
2369,backward
2370,fb
2371,gaza
2372,patch
2373,weed
2374,independently
2375,kurt
2376,du
2377,technocrat
2378,tobacco
2379,e
2380,musl
2381,muhammad
2382,mutilation
2383,filter
2384,jdam
2385,fuzzy
2386,oakland
2387,multimedia
2388,feminist
2389,kabam
2390,answerable
2391,magnetic
2392,particle
2393,svalgaard
2394,holly
2395,cowgirl
2396,antonioni
2397,l'avventura
2398,appropriation
2399,contender
2400,gmo
2401,biotech
2402,heaven
2403,baucus
2404,impeach
2405,distil
2406,rasmussen
2407,corn
2408,trt
2409,ardent
2410,monsanto
2411,kerry
2412,anyhow
2413,obit
2414,judea
2415,kurdish
2416,kidnap
2417,damon
2418,stefan
2419,pesticide
2420,boa
2421,mower
2422,microwave
2423,wklb
2424,title=
2425,src=
2426,width=
2427,height=
2428,alt=
2429,url
2430,crossfit
2431,href=
2432,auction
2433,woc
2434,bfp
2435,feminism
2436,camden
2437,lexie
2438,fry
2439,insufficient
2440,combatant
2441,grumpy
2442,ic
2443,storiesa
2444,bt
2445,nutritious
2446,maize
2447,mohican
2448,sanchez
2449,mullen
2450,incarnate
2451,arc
2452,rauhauser
2453,saa
2454,quoi
2455,dabbler
2456,ctu
2457,firefox
2458,brief
2459,kristi
2460,ng
